side,age,remarks,averagels,treatment
L,N,none,40.2,Hs Fb
L,O,none,26.6,Hs Fb
R,N,ts,45.6,Hs Fb
R,O,ts,39.8,Hs Fb
L,N,none,37.8,Hs Fb
L,O,none,33.2,Hs Fb
R,N,ts,45,Hs Fb
R,O,ts,37.8,Hs Fb
L,N,none,26.6,Hs Fb
L,O,none,28.4,Hs Fb
R,N,ts,40.4,Hs Fb
R,O,ts,43.8,Hs Fb
L,N,none,41.8,Hs Fb
L,O,none,25.6,Hs Fb
R,N,ts,35.8,Hs Fb
R,O,ts,23.8,Hs Fb
L,N,ts,30.2,Hs Fb
L,O,ts,20.8,Hs Fb
R,N,none,61.6,Hs Fb
R,O,none,42.4,Hs Fb
L,N,none,27.4,Hs Fb
L,O,none,25.2,Hs Fb
R,N,none,45.2,Hs Fb
R,O,none,35.4,Hs Fb
L,N,none,45.8,Hs Fb
L,O,none,22.4,Hs Fb
R,N,ts,44.6,Hs Fb
R,O,ts,45.8,Hs Fb
L,N,none,23.6,Hs Fb
L,O,none,22.4,Hs Fb
R,N,none,58.2,Hs Fb
R,O,none,44.2,Hs Fb
L,N,ts,30.2,Hs Fb
L,O,ts,21,Hs Fb
R,N,none,43.4,Hs Fb
R,O,none,31.4,Hs Fb
L,N,none,31.2,Hs Fb
L,O,none,26.6,Hs Fb
R,N,ts,45,Hs Fb
R,O,ts,46.2,Hs Fb
L,N,none,32.6,Hs Nb 
L,O,none,27.4,Hs Nb 
R,N,none,63.4,Hs Nb 
R,O,none,57,Hs Nb 
L,N,none,31.2,Hs Nb 
L,O,none,20.4,Hs Nb 
R,N,none,44,Hs Nb 
R,O,none,30.4,Hs Nb 
L,N,none,39,Hs Nb 
L,O,none,33,Hs Nb 
R,N,none,63,Hs Nb 
R,O,none,42.4,Hs Nb 
L,N,none,30.4,Hs Nb 
L,O,none,27.2,Hs Nb 
R,N,none,49,Hs Nb 
R,O,none,47.4,Hs Nb 
L,N,none,68.2,Hs Nb 
L,O,none,31.2,Hs Nb 
R,N,none,59.6,Hs Nb 
R,O,none,38.4,Hs Nb 
L,N,none,37,Hs Nb 
L,O,none,26.4,Hs Nb 
R,N,none,64,Hs Nb 
R,O,none,29.8,Hs Nb 
L,N,none,38.4,Hs Nb 
L,O,none,21.2,Hs Nb 
R,N,none,46.6,Hs Nb 
R,O,none,32,Hs Nb 
L,N,none,37.4,Hs Nb 
L,O,none,31.2,Hs Nb 
R,N,none,56.4,Hs Nb 
R,O,none,38.8,Hs Nb 
L,N,none,34.2,Hs Nb 
L,O,none,26.6,Hs Nb 
R,N,none,15,Hs Nb 
R,O,none,40,Hs Nb 
L,N,none,35.4,Hs Nb 
L,O,none,32.8,Hs Nb 
R,N,none,50.2,Hs Nb 
R,O,none,50,Hs Nb 
