side,age,remarks,averages,treatment
L,N,none,41.8,Fs Fb
L,O,none,38,Fs Fb
R,N,none,23.2,Fs Fb
R,O,none,21.8,Fs Fb
L,N,none,37.8,Fs Fb
L,O,none,28.4,Fs Fb
R,N,none,20,Fs Fb
R,O,none,15.6,Fs Fb
L,N,none,36.2,Fs Fb
L,O,none,29.6,Fs Fb
R,N,none,27.4,Fs Fb
R,O,none,22,Fs Fb
L,N,none,37.6,Fs Fb
L,O,none,23,Fs Fb
R,N,none,30.8,Fs Fb
R,O,none,8.4,Fs Fb
L,N,none,39.2,Fs Fb
L,O,none,21.6,Fs Fb
R,N,none,32,Fs Fb
R,O,none,19,Fs Fb
L,N,none,29,Fs Fb
L,O,none,22.6,Fs Fb
R,N,none,34.8,Fs Fb
R,O,none,21,Fs Fb
L,N,none,30.2,Fs Fb
L,O,none,21.4,Fs Fb
R,N,none,35.8,Fs Fb
R,O,none,22.2,Fs Fb
L,N,none,23.2,Fs Fb
L,O,none,31.8,Fs Fb
R,N,none,18.6,Fs Fb
R,O,none,28.8,Fs Fb
L,N,none,42.6,Fs Fb
L,O,none,26.2,Fs Fb
R,N,none,26.4,Fs Fb
R,O,none,26.6,Fs Fb
L,N,none,23.2,Fs Fb
L,O,none,16,Fs Fb
R,N,none,36.8,Fs Fb
R,O,none,29.6,Fs Fb
L,N,none,27,Fs Hb 
L,O,none,19.6,Fs Hb 
R,N,none,34.4,Fs Hb 
R,O,none,16,Fs Hb 
L,N,ts,25,Fs Hb 
L,O,none,25,Fs Hb 
R,N,none,37.6,Fs Hb 
R,O,none,29.2,Fs Hb 
L,N,none,30.6,Fs Hb 
L,O,none,22.8,Fs Hb 
R,N,none,27.6,Fs Hb 
R,O,none,29.8,Fs Hb 
L,N,none,26.4,Fs Hb 
L,O,none,17,Fs Hb 
R,N,ts,35.6,Fs Hb 
R,O,ts,40.6,Fs Hb 
L,N,none,56.2,Fs Hb 
L,O,none,36,Fs Hb 
R,N,none,28.2,Fs Hb 
R,O,none,17.2,Fs Hb 
L,N,none,35,Fs Hb 
L,O,none,22.6,Fs Hb 
R,N,none,32.6,Fs Hb 
R,O,none,27.2,Fs Hb 
L,N,none,31,Fs Hb 
L,O,none,20.6,Fs Hb 
R,N,none,39.8,Fs Hb 
R,O,none,30.8,Fs Hb 
L,N,none,34.6,Fs Hb 
L,O,none,24.2,Fs Hb 
R,N,none,32.4,Fs Hb 
R,O,none,23,Fs Hb 
L,N,none,37.6,Fs Hb 
L,O,none,23.6,Fs Hb 
R,N,none,30.6,Fs Hb 
R,O,none,33.2,Fs Hb 
L,N,none,32.4,Fs Hb 
L,O,none,44.2,Fs Hb 
R,N,none,37.8,Fs Hb 
R,O,none,31,Fs Hb 
L,N,none,27.2,Fs Nb 
L,O,none,16.4,Fs Nb 
R,N,none,35,Fs Nb 
R,O,none,26.8,Fs Nb 
L,N,none,30.4,Fs Nb 
L,O,none,29.4,Fs Nb 
R,N,none,20,Fs Nb 
R,O,none,17.8,Fs Nb 
L,N,none,28.4,Fs Nb 
L,O,none,26,Fs Nb 
R,N,none,35,Fs Nb 
R,O,none,22.2,Fs Nb 
L,N,none,28.2,Fs Nb 
L,O,none,25.2,Fs Nb 
R,N,none,37,Fs Nb 
R,O,none,26.6,Fs Nb 
L,N,none,20.2,Fs Nb 
L,O,none,11.6,Fs Nb 
R,N,none,26.2,Fs Nb 
R,O,none,21.4,Fs Nb 
L,N,none,36.4,Fs Nb 
L,O,none,28.2,Fs Nb 
R,N,none,28.6,Fs Nb 
R,O,none,20.4,Fs Nb 
L,N,none,30.6,Fs Nb 
L,O,none,22.4,Fs Nb 
R,N,none,35.8,Fs Nb 
R,O,none,26.6,Fs Nb 
L,N,none,21,Fs Nb 
L,O,none,13.2,Fs Nb 
R,N,none,40,Fs Nb 
R,O,none,19.4,Fs Nb 
L,N,none,17,Fs Nb 
L,O,none,11.8,Fs Nb 
R,N,none,36.6,Fs Nb 
R,O,none,35.2,Fs Nb 
L,N,none,17.2,Fs Nb 
L,O,none,12.2,Fs Nb 
R,N,none,26.8,Fs Nb 
R,O,none,22.8,Fs Nb 
