number,height,pertiole damage,petiolenumber,treatment
1,13.8,1,1,No Sealant
2,11.8,50.5,1,No Sealant
3,12,60.5,1,No Sealant
4,11,0.5,1,No Sealant
5,11.3,5,1,No Sealant
6,10,0.5,1,No Sealant
7,8,1,1,No Sealant
8,9.4,50.5,1,No Sealant
9,8.1,0.5,1,No Sealant
10,5.9,0.5,1,No Sealant
11,5.8,0.5,1,No Sealant
12,8.2,0.5,1,No Sealant
13,8.8,1,1,No Sealant
14,7.8,1,1,No Sealant
15,8.5,0.5,1,No Sealant
16,11.2,30.5,1,No Sealant
17,10.5,50.5,1,No Sealant
18,10.3,0.5,1,No Sealant
19,10.8,1,1,No Sealant
20,9.2,0.5,1,No Sealant
21,8.5,0.5,1,No Sealant
22,8.8,0.5,1,No Sealant
23,10.3,5,1,No Sealant
24,7.4,0.5,1,No Sealant
25,9.4,0.5,1,No Sealant
26,8,0.5,1,No Sealant
27,9.3,0.5,1,No Sealant
28,10.1,20.5,1,No Sealant
29,10.9,0.5,1,No Sealant
30,8.5,5,1,Sealant
31,7,40.5,1,Sealant
32,8.3,25,1,Sealant
33,8.3,25,1,Sealant
34,5,0.5,1,Sealant
35,9,50.5,1,Sealant
36,6.3,5,1,Sealant
37,7.6,20.5,1,Sealant
38,7.1,40.5,1,Sealant
39,10.2,80.5,1,Sealant
40,7.6,1,1,Sealant
41,10.8,25,1,Sealant
42,8,1,1,Sealant
43,9.8,15,1,Sealant
44,10.7,20.5,1,Sealant
45,8.6,15,1,Sealant
46,9,25,1,Sealant
47,8.5,25,1,Sealant
48,8.4,15,1,Sealant
49,7.6,20.5,1,Sealant
50,7.5,20.5,1,Sealant
51,9,10.5,1,Sealant
52,8.2,40.5,1,Sealant
53,8.1,45,1,Sealant
54,5.9,10.5,1,Sealant
55,7.6,30.5,1,Sealant
56,9.1,25,1,Sealant
57,7.4,5,1,Sealant
58,8.5,10.5,1,Sealant
1,13.8,25,2,No Sealant
2,11.8,10.5,2,No Sealant
3,12,65,2,No Sealant
4,11,1,2,No Sealant
5,11.3,0.5,2,No Sealant
6,10,10.5,2,No Sealant
7,8,1,2,No Sealant
8,9.4,30.5,2,No Sealant
9,8.1,0.5,2,No Sealant
10,5.9,0.5,2,No Sealant
11,5.8,0.5,2,No Sealant
12,8.2,0.5,2,No Sealant
13,8.8,0.5,2,No Sealant
14,7.8,0.5,2,No Sealant
15,8.5,0.5,2,No Sealant
16,11.2,20.5,2,No Sealant
17,10.5,50.5,2,No Sealant
18,10.3,0.5,2,No Sealant
19,10.8,0.5,2,No Sealant
20,9.2,0.5,2,No Sealant
21,8.5,2,2,No Sealant
22,8.8,0.5,2,No Sealant
23,10.3,15,2,No Sealant
24,7.4,0.5,2,No Sealant
25,9.4,0.5,2,No Sealant
26,8,0.5,2,No Sealant
27,9.3,0.5,2,No Sealant
28,10.1,30.5,2,No Sealant
29,10.9,1,2,No Sealant
30,8.5,10.5,2,Sealant
31,7,20.5,2,Sealant
32,8.3,25,2,Sealant
33,8.3,30.5,2,Sealant
34,5,0.5,2,Sealant
35,9,40.5,2,Sealant
36,6.3,10.5,2,Sealant
37,7.6,10.5,2,Sealant
38,7.1,25,2,Sealant
39,10.2,65,2,Sealant
40,7.6,0.5,2,Sealant
41,10.8,30.5,2,Sealant
42,8,1,2,Sealant
43,9.8,20.5,2,Sealant
44,10.7,15,2,Sealant
45,8.6,10.5,2,Sealant
46,9,30.5,2,Sealant
47,8.5,25,2,Sealant
48,8.4,20.5,2,Sealant
49,7.6,20.5,2,Sealant
50,7.5,20.5,2,Sealant
51,9,15,2,Sealant
52,8.2,30.5,2,Sealant
53,8.1,30.5,2,Sealant
54,5.9,5,2,Sealant
55,7.6,30.5,2,Sealant
56,9.1,20.5,2,Sealant
57,7.4,1,2,Sealant
58,8.5,20.5,2,Sealant
